"id","price","date_stamp","issn","influence_id","url","license"
8907,2145,"2016-08-11","2047-2501","NULL","NULL",NA
8908,2300,"2016-08-11","1478-4505","NULL","NULL",NA
8909,2145,"2016-08-11","2059-5166","NULL","NULL",NA
8910,2450,"2016-08-11","1478-4491","NULL","NULL",NA
8911,2365,"2016-08-11","1748-5908","NULL","NULL",NA
8912,2145,"2016-08-11","2049-9957","NULL","NULL",NA
8913,1940,"2016-08-11","1746-4358","NULL","NULL",NA
8914,2220,"2016-08-11","1475-9276","NULL","NULL",NA
8915,2580,"2016-08-11","1479-5868","NULL","NULL",NA
8916,2145,"2016-08-11","1476-072X","NULL","NULL",NA
8917,2145,"2016-08-11","1752-4458","NULL","NULL",NA
8918,2145,"2016-08-11","1687-9856","NULL","NULL",NA
8919,0,"2016-08-11","2056-9920","NULL","NULL",NA
8920,2145,"2016-08-11","2046-0481","NULL","NULL",NA
8921,0,"2016-08-11","2045-4015","NULL","NULL",NA
8922,2145,"2016-08-11","1824-7288","NULL","NULL",NA
8923,2410,"2016-08-11","2051-1426","NULL","NULL",NA
8924,2175,"2016-08-11","1749-8090","NULL","NULL",NA
8925,2145,"2016-08-11","1532-429X","NULL","NULL",NA
8926,2145,"2016-08-11","2054-7072","NULL","NULL",NA
8927,2145,"2016-08-11","2053-2393","NULL","NULL",NA
8928,2145,"2016-08-11","2056-7251","NULL","NULL",NA
8929,1940,"2016-08-11","1746-4269","NULL","NULL",NA
8930,2220,"2016-08-11","1756-9966","NULL","NULL",NA
8931,2145,"2016-08-11","1757-1146","NULL","NULL",NA
8932,2145,"2016-08-11","2072-1315","NULL","NULL",NA
8933,2580,"2016-08-11","1756-8722","NULL","NULL",NA
8934,0,"2016-08-11","2052-0492","NULL","NULL",NA
8935,1120,"2016-08-11","1752-1947","NULL","NULL",NA
8936,2145,"2016-08-11","2049-9256","NULL","NULL",NA
8937,2260,"2016-08-11","1745-6673","NULL","NULL",NA
8938,2450,"2016-08-11","1749-799X","NULL","NULL",NA
8939,2145,"2016-08-11","1916-0216","NULL","NULL",NA
8940,2145,"2016-08-11","1757-2215","NULL","NULL",NA
8941,2145,"2016-08-11","1550-2783","NULL","NULL",NA
8942,0,"2016-08-11","2050-5736","NULL","NULL",NA
8943,0,"2016-08-11","2058-511X","NULL","NULL",NA
8944,2145,"2016-08-11","2054-958X","NULL","NULL",NA
8945,0,"2016-08-11","2054-9369","NULL","NULL",NA
8946,2145,"2016-08-11","2040-2392","NULL","NULL",NA
8947,2145,"2016-08-11","2049-6958","NULL","NULL",NA
8948,2145,"2016-08-11","2056-6115","NULL","NULL",NA
8949,2145,"2016-08-11","2055-4788","NULL","NULL",NA
8950,2145,"2016-08-11","2055-5792","NULL","NULL",NA
8951,0,"2016-08-11","2316-7874","NULL","NULL",NA
8952,2240,"2016-08-11","1743-7075","NULL","NULL",NA
8953,2300,"2016-08-11","1475-2891","NULL","NULL",NA
8954,2365,"2016-08-11","1750-1172","NULL","NULL",NA
8955,2145,"2016-08-11","1754-9493","NULL","NULL",NA
8956,2145,"2016-08-11","1546-0096","NULL","NULL",NA
8957,2450,"2016-08-11","2047-0525","NULL","NULL",NA
8958,2450,"2016-08-11","2055-5784","NULL","NULL",NA
8959,2145,"2016-08-11","2200-6133","NULL","NULL",NA
8960,2145,"2016-08-11","1478-7954","NULL","NULL",NA
8961,2145,"2016-08-11","2055-5660","NULL","NULL",NA
8962,2145,"2016-08-11","2107-6952","NULL","NULL",NA
8963,0,"2016-08-11","2059-1381","NULL","NULL",NA
8964,2145,"2016-08-11","1477-7827","NULL","NULL",NA
8965,2145,"2016-08-11","1742-4755","NULL","NULL",NA
8966,2450,"2016-08-11","2056-7529","NULL","NULL",NA
8967,2525,"2016-08-11","1465-993X","NULL","NULL",NA
8968,2145,"2016-08-11","2056-5917","NULL","NULL",NA
8969,2325,"2016-08-11","1757-7241","NULL","NULL",NA
8970,2145,"2016-08-11","2397-1789","NULL","NULL",NA
8971,2145,"2016-08-11","2398-2683","NULL","NULL",NA
8972,1940,"2016-08-11","1747-597X","NULL","NULL",NA
8973,2450,"2016-08-11","2046-4053","NULL","NULL",NA
8974,2145,"2016-08-11","1477-9560","NULL","NULL",NA
8975,2145,"2016-08-11","1756-6614","NULL","NULL",NA
8976,2145,"2016-08-11","1617-9625","NULL","NULL",NA
8977,2145,"2016-08-11","2396-832X","NULL","NULL",NA
8978,2450,"2016-08-11","2047-1440","NULL","NULL",NA
8979,2145,"2016-08-11","1745-6215","NULL","NULL",NA
8980,2145,"2016-08-11","2055-0936","NULL","NULL",NA
8981,1105,"2016-08-11","1349-4147","NULL","NULL",NA
8982,2145,"2016-08-11","2045-824X","NULL","NULL",NA
8983,1800,"2016-08-11","1297-9716","NULL","NULL",NA
8984,2145,"2016-08-11","2054-2690","NULL","NULL",NA
8985,2300,"2016-08-11","1939-4551","NULL","NULL",NA
8986,2145,"2016-08-11","1749-7922","NULL","NULL",NA
8987,2580,"2016-08-11","1477-7819","NULL","NULL",NA
8988,2240,"2016-08-11","2052-3211","NULL","NULL",NA
8989,2145,"2016-08-11","1472-6939","NULL","NULL",NA
8990,2145,"2016-08-11","1747-5341","NULL","NULL",NA
8991,2145,"2016-08-11","2058-8615","NULL","NULL",NA
8992,2145,"2016-08-11","2046-1682","NULL","NULL",NA
8993,2145,"2016-08-11","2050-7283","NULL","NULL",NA
8994,2145,"2016-08-11","2050-2974","NULL","NULL",NA
8995,2500,"2016-08-11","0741-8329","NULL","NULL",NA
8996,1000,"2016-08-11","2215-0390","NULL","NULL",NA
8997,1750,"2016-08-11","1075-9964","NULL","NULL",NA
8998,2500,"2016-08-11","2213-3054","NULL","NULL",NA
8999,2600,"2016-08-11","0195-6663","NULL","NULL",NA
9000,3600,"2016-08-11","0044-8486","NULL","NULL",NA
9001,3000,"2016-08-11","0021-9150","NULL","NULL",NA
9002,0,"2016-08-11","0187-6236","NULL","NULL",NA
9003,3100,"2016-08-11","0005-1098","NULL","NULL",NA
9004,2200,"2016-08-11","0300-9084","NULL","NULL",NA
9005,2600,"2016-08-11","1567-5394","NULL","NULL",NA
9006,3000,"2016-08-11","1045-1056","NULL","NULL",NA
9007,3500,"2016-08-11","0142-9612","NULL","NULL",NA
9008,1700,"2016-08-11","2405-8866","NULL","NULL",NA
9009,1800,"2016-08-11","0303-2647","NULL","NULL",NA
9010,1000,"2016-08-11","2352-5738","NULL","NULL",NA
9011,2150,"2016-08-11","8756-3282","NULL","NULL",NA
9012,3000,"2016-08-11","1538-4721","NULL","NULL",NA
9013,3000,"2016-08-11","0305-4179","NULL","NULL",NA
9014,2500,"2016-08-11","0364-5916","NULL","NULL",NA
9015,3000,"2016-08-11","1499-2671","NULL","NULL",NA
9016,3500,"2016-08-11","0008-6223","NULL","NULL",NA
9017,3000,"2016-08-11","1889-898X","NULL","NULL",NA
9018,2500,"2016-08-11","0341-8162","NULL","NULL",NA
9019,5000,"2016-08-11","0092-8674","NULL","NULL",NA
9020,3000,"2016-08-11","0045-6535","NULL","NULL",NA
9021,3000,"2016-08-11","0012-3692","NULL","NULL",NA
9022,1100,"2016-08-11","0264-2751","NULL","NULL",NA
9023,2150,"2016-08-11","0010-0277","NULL","NULL",NA
9024,1700,"2016-08-11","1322-7696","NULL","NULL",NA
9025,3000,"2016-08-11","0010-7824","NULL","NULL",NA
9026,2600,"2016-08-11","0010-9452","NULL","NULL",NA
9027,2200,"2016-08-11","0011-2240","NULL","NULL",NA
9028,2200,"2016-08-11","0011-2275","NULL","NULL",NA
9029,3300,"2016-08-11","1043-4666","NULL","NULL",NA
9030,3000,"2016-08-11","1465-3249","NULL","NULL",NA
9031,1500,"2016-08-11","1125-7865","NULL","NULL",NA
9032,3600,"2016-08-11","0011-9164","NULL","NULL",NA
9033,3000,"2016-08-11","0301-4681","NULL","NULL",NA
9034,2000,"2016-08-11","0011-5029","NULL","NULL",NA
9035,2400,"2016-08-11","0141-9382","NULL","NULL",NA
9036,3000,"2016-08-11","2352-3964","NULL","NULL",NA
9037,1000,"2016-08-11","0717-3458","NULL","NULL",NA
9038,750,"2016-08-11","0160-9327","NULL","NULL",NA
9039,2950,"2016-08-11","0360-5442","NULL","NULL",NA
9040,1400,"2016-08-11","2405-6502","NULL","NULL",NA
9041,1800,"2016-08-11","1755-4365","NULL","NULL",NA
9042,1700,"2016-08-11","2212-8220","NULL","NULL",NA
9043,3000,"2016-08-11","0211-5638","NULL","NULL",NA
9044,1800,"2016-08-11","0367-326X","NULL","NULL",NA
9045,1500,"2016-08-11","0367-2530","NULL","NULL",NA
9046,3600,"2016-08-11","0016-2361","NULL","NULL",NA
9047,1100,"2016-08-11","0016-3287","NULL","NULL",NA
9048,3000,"2016-08-11","0016-5085","NULL","NULL",NA
9049,3300,"2016-08-11","0378-1119","NULL","NULL",NA
9050,2150,"2016-08-11","0888-7543","NULL","NULL",NA
9051,3000,"2016-08-11","0016-6995","NULL","NULL",NA
9052,3000,"2016-08-11","0016-7061","NULL","NULL",NA
9053,1800,"2016-08-11","0016-7185","NULL","NULL",NA
9054,3300,"2016-08-11","0169-555X","NULL","NULL",NA
9055,2200,"2016-08-11","2214-2428","NULL","NULL",NA
